date,pdsi
2022-01-01,-2.3466666666666662
2022-02-01,-2.2750000000000004
2022-03-01,-1.95
2022-04-01,-1.1266666666666667
2022-05-01,-1.1566666666666667
2022-06-01,-2.3633333333333333
2022-07-01,-2.29
2022-08-01,-2.12
2022-09-01,-1.1533333333333333
2022-10-01,-1.1366666666666667
2022-11-01,-2.356666666666667
2022-12-01,-2.29
2023-01-01,-3.1933333333333334
2023-02-01,-3.275
2023-03-01,-2.72
2023-04-01,-1.92
2023-05-01,-1.4666666666666668
2023-06-01,-3.1933333333333334
2023-07-01,-3.395
2023-08-01,-2.68
2023-09-01,-1.9766666666666666
2023-10-01,-1.47
2023-11-01,-3.1799999999999997
2023-12-01,-3.515
2024-01-01,-1.9500000000000002
2024-02-01,-2.31
2024-03-01,-2.985
2024-04-01,-3.6633333333333336
2024-05-01,-3.3775
2024-06-01,-2.06
2024-07-01,-2.2
2024-08-01,-2.925
2024-09-01,-3.59
2024-10-01,-3.345
2024-11-01,-2.16
2024-12-01,-2.07
2025-01-01,-1.72
2025-02-01,1.24
2025-03-01,-1.16
2025-04-01,-2.58
2025-05-01,-2.626666666666667
2025-06-01,-1.9049999999999998
2025-07-01,1.1099999999999999
2025-08-01,-0.86
2025-09-01,-2.5566666666666666
2025-10-01,-2.66
2025-11-01,-1.905
2025-12-01,0.9949999999999999
